"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5897","Новый заказ появляется в блоке В работе","tests","2026-06-30","passed","2026-06-30","TestOrderFeed","test_order_feed","",""
"","975","Открытие модального окна с деталями ингредиента","tests","2026-06-30","passed","2026-06-30","TestMainFunctionality","test_main_functionality","",""
"","1110","Каунтер булки увеличивается после добавления в заказ","tests","2026-06-30","passed","2026-06-30","TestMainFunctionality","test_main_functionality","",""
"","1082","Каунтер начинки увеличивается после добавления в заказ","tests","2026-06-30","passed","2026-06-30","TestMainFunctionality","test_main_functionality","",""
"","580","Переход по клику на Конструктор","tests","2026-06-30","passed","2026-06-30","TestMainFunctionality","test_main_functionality","",""
"","1016","Открытие деталей заказа по клику","tests","2026-06-30","passed","2026-06-30","TestOrderFeed","test_order_feed","",""
"","2414","Переход в личный кабинет","tests","2026-06-30","passed","2026-06-30","TestProfile","test_profile","",""
"","3315","Счётчик Выполнено за всё время увеличивается","tests","2026-06-30","passed","2026-06-30","TestOrderFeed","test_order_feed","",""
"","4147","Переход в Историю заказов","tests","2026-06-30","passed","2026-06-30","TestProfile","test_profile","",""
"","461","Открытие модального окна с деталями ингредиента","tests","2026-06-30","passed","2026-06-30","TestMainFunctionality","test_main_functionality","",""
"","1265","Закрытие модального окна с деталями ингредиента","tests","2026-06-30","passed","2026-06-30","TestMainFunctionality","test_main_functionality","",""
"","572","Каунтер булки увеличивается после добавления в заказ","tests","2026-06-30","passed","2026-06-30","TestMainFunctionality","test_main_functionality","",""
"","2234","Переход в Историю заказов","tests","2026-06-30","passed","2026-06-30","TestProfile","test_profile","",""
"","1166","Клик по глазику делает поле пароля активным","tests","2026-06-30","passed","2026-06-30","TestForgotPassword","test_forgot_password","",""
"","1042","Каунтер начинки увеличивается после добавления в заказ","tests","2026-06-30","passed","2026-06-30","TestMainFunctionality","test_main_functionality","",""
"","592","Переход по клику на Конструктор","tests","2026-06-30","passed","2026-06-30","TestMainFunctionality","test_main_functionality","",""
"","4004","Заказ из истории отображается в ленте","tests","2026-06-30","passed","2026-06-30","TestOrderFeed","test_order_feed","",""
"","1115","Ввод email и клик по кнопке Восстановить","tests","2026-06-30","passed","2026-06-30","TestForgotPassword","test_forgot_password","",""
"","6276","Новый заказ появляется в блоке В работе","tests","2026-06-30","passed","2026-06-30","TestOrderFeed","test_order_feed","",""
"","1256","Переход по клику на Лента заказов","tests","2026-06-30","passed","2026-06-30","TestMainFunctionality","test_main_functionality","",""
"","695","Ввод email и клик по кнопке Восстановить","tests","2026-06-30","passed","2026-06-30","TestForgotPassword","test_forgot_password","",""
"","3160","Счётчик Выполнено за сегодня увеличивается","tests","2026-06-30","passed","2026-06-30","TestOrderFeed","test_order_feed","",""
"","1085","Открытие деталей заказа по клику","tests","2026-06-30","passed","2026-06-30","TestOrderFeed","test_order_feed","",""
"","1825","Переход в личный кабинет","tests","2026-06-30","passed","2026-06-30","TestProfile","test_profile","",""
"","1080","Переход на страницу восстановления пароля","tests","2026-06-30","passed","2026-06-30","TestForgotPassword","test_forgot_password","",""
"","4200","Заказ из истории отображается в ленте","tests","2026-06-30","passed","2026-06-30","TestOrderFeed","test_order_feed","",""
"","3293","Выход из аккаунта","tests","2026-06-30","passed","2026-06-30","TestProfile","test_profile","",""
"","3088","Счётчик Выполнено за всё время увеличивается","tests","2026-06-30","passed","2026-06-30","TestOrderFeed","test_order_feed","",""
"","1164","Каунтер соуса увеличивается после добавления в заказ","tests","2026-06-30","passed","2026-06-30","TestMainFunctionality","test_main_functionality","",""
"","3220","Счётчик Выполнено за сегодня увеличивается","tests","2026-06-30","passed","2026-06-30","TestOrderFeed","test_order_feed","",""
"","1368","Переход по клику на Лента заказов","tests","2026-06-30","passed","2026-06-30","TestMainFunctionality","test_main_functionality","",""
"","1032","Переход на страницу восстановления пароля","tests","2026-06-30","passed","2026-06-30","TestForgotPassword","test_forgot_password","",""
"","2929","Выход из аккаунта","tests","2026-06-30","passed","2026-06-30","TestProfile","test_profile","",""
"","1065","Каунтер соуса увеличивается после добавления в заказ","tests","2026-06-30","passed","2026-06-30","TestMainFunctionality","test_main_functionality","",""
"","1320","Закрытие модального окна с деталями ингредиента","tests","2026-06-30","passed","2026-06-30","TestMainFunctionality","test_main_functionality","",""
"","1360","Клик по глазику делает поле пароля активным","tests","2026-06-30","passed","2026-06-30","TestForgotPassword","test_forgot_password","",""
"","2287","Авторизованный пользователь может оформить заказ","tests","2026-06-30","passed","2026-06-30","TestMainFunctionality","test_main_functionality","",""
"","2431","Авторизованный пользователь может оформить заказ","tests","2026-06-30","passed","2026-06-30","TestMainFunctionality","test_main_functionality","",""
